Description                                                                                                                                                                                             ,acteurs                                                                                                                                                                                                                                                                                                                          ,date             ,duree ,genre                                    ,langue ,pays           ,public    ,score ,titre                                                                ,titre_original
"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."                                                                                ,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,Mark Rolston,James Whitmore,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella,Paul McCrane,Renee Blaine,Scott Mann"                                                                            ,"1994,R"         ,  142 ,"Drama,Back to top"                      ,       ,United States  ,R         ,  9.3 ,The Shawshank Redemption                                             ,
A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.                                                                                        ,"Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee,Fairuza Balk,Avery Brooks,Elliott Gould,Stacy Keach,William Russ,Guy Torry,Joe Cortese,Jason Bose Smith,Antonio David Lyons,Alex Sol,Keram Malicki-Sánchez,Giuseppe Andrews,Michelle Christine White"                                                  ,"1998,R"         ,  119 ,"Crime,Drama,Back to top"                ,       ,United States  ,R         ,  8.5 ,American History X                                                   ,
"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."                                                                                            ,"Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg,Rowan Atkinson,Niketa Calame-Harris,Jim Cummings,Robert Guillaume,Moira Kelly,Nathan Lane,Zoe Leader,Cheech Marin,Ernie Sabella,Madge Sinclair,Jonathan Taylor Thomas,Frank Welker,Cathy Cavadini,Judi M. Durand"                                               ,"1994,G"         ,   88 ,"Animation,Adventure,Drama,Back to top"  ,       ,United States  ,G         ,  8.5 ,The Lion King                                                        ,
"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin..., "   ,"Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Peter Appel,Willi One Blood,Don Creech,Keith A. Glascoe,Randolph Scott,Michael Badalucco,Ellen Greene,Elizabeth Regen,Carl J. Matusovich,Frank Senger,Lucius Wyatt Cherokee,Eric Challier,Luc Bernard,Maïwenn"                                                               ,"1994,R"         ,  110 ,"Action,Crime,Drama,Back to top"         ,       ,France         ,R         ,  8.5 ,Léon: The Professional                                               ,Original title: Léon
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.                                                                             ,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone,Vera Farmiga,Anthony Anderson,Alec Baldwin,Kevin Corrigan,James Badge Dale,David O'Hara,Mark Rolston,Robert Wahlberg,Kristen Dalton,Thomas B. Duffy,Richard Hughes,J.C. MacKenzie"                                                          ,"2006,R"         ,  151 ,"Crime,Drama,Thriller,Back to top"       ,       ,United States  ,R         ,  8.5 ,The Departed                                                         ,
"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."                          ,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,Piper Perabo,Rebecca Hall,Samantha Mahurin,David Bowie,Andy Serkis,Daniel Davis,Jim Piddock,Christopher Neame,Mark Ryan,Roger Rees,Jamie Harris,Monty Stuart,Ron Perkins,Ricky Jay"                                                                                ,"2006,PG-13"     ,  130 ,"Drama,Mystery,Sci-Fi,Back to top"       ,       ,United Kingdom ,PG-13     ,  8.5 ,The Prestige                                                         ,
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.                                                                       ,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris,Derek Jacobi,Djimon Hounsou,David Schofield,John Shrapnel,Tomas Arana,Ralf Moeller,Spencer Treat Clark,David Hemmings,Tommy Flanagan,Sven-Ole Thorsen,Omid Djalili,Nicholas McGaughey,Chris Kell"                                                       ,"2000,R"         ,  155 ,"Action,Adventure,Drama,Back to top"     ,       ,United States  ,R         ,  8.5 ,Gladiator                                                            ,
"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."                                    ,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,Benicio Del Toro,Kevin Pollak,Pete Postlethwaite,Suzy Amis,Giancarlo Esposito,Dan Hedaya,Paul Bartel,Carl Bressler,Phillipe Simon,Jack Shearer,Christine Estabrook,Clark Gregg,Morgan Hunter,Ken Daly"                                                              ,"1995,R"         ,  106 ,"Crime,Drama,Mystery,Back to top"        ,       ,United States  ,R         ,  8.5 ,The Usual Suspects                                                   ,
Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.                                                             ,"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,Park So-dam,Lee Jeong-eun,Jang Hye-jin,Park Myeong-hoon,Jung Ji-so,Jung Hyun-jun,Park Keun-rok,Jung Yi-seo,Jo Jae-myeong,Jung Ik-han,Kim Kyu-baek,Hwang In-kyung,Ahn Seong-bong,Kim Jin-hyung"                                                                             ,"2019,R"         ,  132 ,"Drama,Thriller,Back to top"             ,       ,South Korea    ,R         ,  8.5 ,Parasite                                                             ,Original title: Gisaengchung
A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.                                                                                                     ,"Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,Michal Zebrowski,Ed Stoppard,Maureen Lipman,Jessica Kate Meyer,Julia Rayner,Wanja Mues,Richard Ridings,Nomi Sharron,Anthony Milner,Lucy Skeaping,Roddy Skeaping,Ben Harlan,Thomas Lawinky,Joachim Paul Assböck"                                                         ,"2002,R"         ,  150 ,"Biography,Drama,Music,Back to top"      ,       ,France         ,R         ,  8.5 ,The Pianist                                                          ,
