Description,acteurs,date,duree,genre,langue,pays,public,score,titre,titre_original
David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Chadden Hunter,Gordon Buchanan,Elizabeth White,Pete McCowen,Emma Brennand,Barrie Britton,Fredi Devas,Sandesh Kadur,Mark MacEwen,Emma Napper,Ed Charles,Max Hug Williams,Jerome Poncet,Michael J. Sanderson,Toby Nowlan,Armin Holtze,Thomas Crowley",2016,298,"Documentary,Back to top",French,"United Kingdom,Germany,France,China,United States",,9.5,Planet Earth II,
"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,Russell Harvard,Bokeem Woodbine,Brad Mann,Kirsten Dunst,Ewan McGregor,Chris Rock,Patrick Wilson,Carrie Coon,Jessie Buckley,Jesse Plemons,Mary Elizabeth Winstead,Jason Schwartzman,David Thewlis,Ted Danson",2014– ,53,"Crime,Drama,Thriller,Back to top",German,United States,,8.9,Fargo,
The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,"Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Mark Margolis,Kerry Condon,Ray Campbell,Jeremiah Bitsui,Cara Pifko,Dennis Boutsikaris,Ed Begley Jr.,Josh Fadem,Tina Parker,Julian Bonfiglio",2015–2022,46,"Crime,Drama,Back to top",Spanish,United States,,8.9,Better Call Saul,
Focuses on life and the environment in both the Arctic and Antarctic.,"David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Mark Linfield,Vanessa Berlowitz,Jeff Turner,Doug Allan,Jeff Wilson,Gavin Thurston,Doug Anderson,Mark Smith,Alun Hubbard,Didier Noirot,Jamie McPherson,John Aitchison,Matthew Swarbrick",2011–2012,333,"Documentary,Back to top",Russian,"United Kingdom,United States,Spain,Germany,Greece,Canada",,9.0,Frozen Planet,
"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert",2011–2014,24,"Animation,Action,Adventure,Back to top",English,"Japan,Poland",,9.0,Hunter x Hunter,
The lives of Police Officers working for the Los Angeles Police Department.,"Michael Cudlitz,Shawn Hatosy,Regina King,Ben McKenzie,C. Thomas Howell,Arija Bareikis,Jamie McShane,Michael McGrady,Dorian Missick,Kevin Alejandro,Tom Everett Scott,Emily Bergl,Roxana Brusso,Mario Cortez,Lucy Liu,Jenny Gago,Lex Medlin,Patrick Fischler",2009–2013,42,"Crime,Drama,Thriller,Back to top",Spanish,United States,,8.5,Southland,
A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Luca Gallone,Francesco Serpico,Giovanni Amura,Giovanni Buselli,Eduardo Scarpetta,Elvis Esposito,Valentina Acca,Antonio Buonanno,Rosaria Langellotto,Gennaro De Stefano,Fabrizio Cottone,Pina Di Gennaro,Riccardo Palmieri",2018– ,60,"Drama,Back to top",Neapolitan,"Italy,United States",,8.6,My Brilliant Friend,Original title: L'amica geniale
A foul-mouthed nerd reviews bad video games.,"James Rolfe,Mike Matei,Kyle Justin,Kieran Fallon,Antonio Piluso,Kevin Finn,Liam Mulvey,Craig Skistimas,Justin Silverman,Marsh,Xander Arnot,Micheal Mulvey,Pat Contri,Lloyd Kaufman,Nathan Barnatt,Macaulay Culkin,Gilbert Gottfried,Grant Duffrin",2004– ,35,"Comedy,Back to top",Spanish,United States,,8.5,,
"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies be..., ","Serban Pavlu,Maria Obretin,Andreea Vasile,Madalina Craiu,Gabriel Huian,Sergiu Costache,Doru Ana,Dan Hurduc,Stefan Velniciuc,Laurentiu Bãnescu,Sorin Cocis,Mihai Calin,Vitalie Bantas,Dorel Visan,Costel Cascaval,Augustin Viziru,Silvana Mihai,Ion Grosu",2014–2019,45,"Crime,Drama,Thriller,Back to top",Spanish,Romania,,8.8,Umbre,
"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Ralph Macchio,William Zabka,Courtney Henggeler,Xolo Maridueña,Tanner Buchanan,Mary Mouser,Jacob Bertrand,Gianni DeCenzo,Martin Kove,Vanessa Rubio,Peyton List,Owen Morgan,Aedin Mincks,Jayden Rivers,Joe Seo,Griffin Santopietro,Khalil Everage,Hannah Kepple",2018– ,30,"Action,Comedy,Drama,Back to top",Hindi,United States,,8.5,Cobra Kai,
Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe",2017,60,"Crime,Drama,Horror,Back to top",French,United States,,8.5,Twin Peaks,
"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray",2011,331,"Action,Adventure,Biography,Back to top",Assyrian Neo-Aramaic,United States,,8.5,,
"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and ..., ","Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker",2010–2013,55,"Action,Adventure,Biography,Back to top",German,United States,,8.5,Spartacus,Original title: Spartacus: Blood and Sand
